"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
429,KR,Y1,KR 200263644 Y1,087-279-563-465-192,2002-03-20,2002,KR 19990004965 U,1999-03-26,KR 19990004965 U,1999-03-26,Structure For Connecting Lending Net,"뜰채가 개시된다. 뜰채는 소정위치에 결합부재가 돌출형성되는 프레임, 프레임의 결합부재에 분해가능하게 결합되는 손잡이부, 그 내주면에 축방향으로 제1 및 제2 홀이 형성되는 중공축이며, 제1 홀에는 프레임의 결합부재가 삽입되며, 제2 홀에는 손잡이부의 선단부가 삽입되므로써 프레임과 손잡이부를 일체로 분해가능하게 결합하는 연결부재로 구성된다.",신우상사주식회사,김세진,,https://lens.org/087-279-563-465-192,Unknown,no,0,3,2,2,0,A01K75/00;;A01K77/005,,,0,0,,,,EXPIRED
430,US,A,US 270641 A,081-276-615-308-390,1883-01-16,1883,US 270641D A,,,,US 270641 A,,,,,https://lens.org/081-276-615-308-390,Granted Patent,no,0,4,1,1,0,A01K77/00;;A01K77/00,,,0,0,,,,EXPIRED
431,ES,B1,ES 2401262 B1,084-506-719-632-929,2014-03-24,2014,ES 201131623 A,2011-10-10,JP 2010242559 A,2010-10-28,Halador de redes.,,MARINE HYDROTEC CO LTD,YAMAMOTO KENICHIRO,,https://lens.org/084-506-719-632-929,Granted Patent,no,0,0,13,13,0,A01K73/06;;A01K77/00;;A01K73/06;;B65H75/30,A01K73/06,,0,0,,,,ACTIVE
432,SE,C1,SE 26161 C1,077-555-729-148-716,1909-01-04,1909,SE 26161D A,,SE 26161T A,,SE 26161 C1,,,,,https://lens.org/077-555-729-148-716,Granted Patent,no,0,0,1,1,0,A01K77/00;;A01K77/005,,,0,0,,,,EXPIRED
433,KR,A,KR 20050097638 A,082-088-763-501-326,2005-10-10,2005,KR 20040022825 A,2004-04-02,KR 20040022825 A,2004-04-02,DESCENDING LIFE LINE APPARATUS,,KWON OH SEUNG,NA DAE GYUN,,https://lens.org/082-088-763-501-326,Patent Application,no,0,3,2,2,0,A01K77/00;;A01K73/06;;A01K73/12,A62B1/08,,0,0,,,,INACTIVE
434,KR,B1,KR 100656814 B1,083-771-248-999-177,2006-12-14,2006,KR 20060005121 A,2006-01-17,KR 20060005121 A,2006-01-17,SEPARATING AND WASHING DEVICE FOR CONSTRUCTION WASTE,A fine aggregate cleaning and separating device for treatment of the construction waste materials is provided to maximally increase an air cleaning effect by improving the flow of air by adopting an impact method of a distributing plate instead of a zigzag mesh plate and forming the inside of the device as a closed space. The fine aggregate cleaning and separating device for treatment of the construction waste materials cleans aggregates by the rising flow of the air by forming an air input port(12) at the lower middle portion of a body(10) and an air discharge port(13) at the upper end. The fine aggregate cleaning and separating device is composed of a funnel-shaped aggregate input hopper(20) and an extended pipe body(22) fitted to the upper center of the body; a distributing plate supported and installed at the lower side of the extended pipe body; and an aggregate discharge port formed at the end of a cone-shaped lower part of the body.,SINJANTO CO LTD;;SUDOHAWNKOUNG CO LTD;;CHUN AN ENVLRONMENT CO;;KU KYONG SHIN;;KOO JAE IL;;GU SEUL KEE,KU KYONG SHIN;;KOO JAE IL;;GU SEUL KEE,,https://lens.org/083-771-248-999-177,Granted Patent,no,4,2,1,1,0,A01K73/06;;A01K77/00,B02C23/08;;B03B5/38;;B03B7/00;;B03B13/00,,0,0,,,,INACTIVE
435,KR,B1,KR 101477668 B1,094-645-375-647-563,2014-12-31,2014,KR 20130013706 A,2013-02-07,KR 20130013706 A,2013-02-07,line hauler for fishing operation,"본 발명은 조업용 양승기에 관한 것으로써, 특히, 낚싯줄을 드럼과 벨트 사이에 배치시켜서 끌어올림으로써, 낚싯줄의 접촉면적을 넓게 할 수 있어서 마찰력이 증대되고 장치의 내구성도 향상되는 조업용 양승기에 관한 것이다.",,,,https://lens.org/094-645-375-647-563,Granted Patent,no,2,1,2,2,0,A01K77/00;;A01K91/18,A01K77/00;;A01K91/18,,0,0,,,,INACTIVE
436,CN,A,CN 104542513 A,088-666-256-554-693,2015-04-29,2015,CN 201310502380 A,2013-10-23,CN 201310502380 A,2013-10-23,Fishing net with cover,"Disclosed is a fishing net with a cover. The fishing net can prevent fishes from jumping out, the cover is added at an opening of the fishing net and composed of two semicircles, total area of the cover is slightly larger than that of the opening of the fishing net, the cover and handles are similar to scissors structurally, two compression springs are arranged on the handles, and the cover is constantly in a state of opening under elasticity action of the springs. When the fishing net is in use, the cover can be closed by holding the handles, and the cover is opened under acting force of the springs.",YI XIAOJUN,THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED,,https://lens.org/088-666-256-554-693,Patent Application,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
437,WO,A1,WO 2006/083151 A1,086-392-225-522-674,2006-08-10,2006,KR 2006000445 W,2006-02-07,KR 20050011174 A,2005-02-07,SAMPLE PLATE FOR MALDI MASS SPECTROMETRY AND PROCESS FOR MANUFACTURE OF THE SAME,"The present invention relates to a sample plate (100) aseful in MALDI mass spectrometry having a patterned hydrophobic organosilane coating layer (140a) and at least a central portion (D) formed on the surface whre the hydrophobic layer is not formed and a process for manufacturing and using the sample plate. The sample plate can rapidly dry the solvent contained in samples leading to efficient sample analysis, and can be prepared by cost effectiveness.",KIM YANG-SUN,KIM YANG-SUN,,https://lens.org/086-392-225-522-674,Patent Application,yes,5,9,2,4,0,A01K77/00;;A01K91/06;;A01K91/18;;B01L3/5085;;B01L3/5088;;B01L2300/0829;;B01L2300/165;;H01J49/0418,H01J49/04;;B01L3/00,,0,0,,,,PENDING
438,AU,B2,AU 619136 B2,084-397-905-199-823,1992-01-16,1992,AU 1990/064740 A,1990-10-19,AU PJ696389 A,1989-10-19,SELF ILLUMINATING FISHING APPARATUS,,GREGORY ALLAN SHEARS,SHEARS GREGORY ALLAN,,https://lens.org/084-397-905-199-823,Granted Patent,no,2,0,3,3,0,A01K75/02;;A01K77/00;;A01K97/14,A01K75/02;;A01K77/00;;A01K97/14,,0,0,,,,EXPIRED
439,US,A1,US 2022/0030838 A1,102-840-063-862-434,2022-02-03,2022,US 202117450923 A,2021-10-14,US 202117450923 A;;US 201816215111 A,2018-12-10,NET HAVING HOOP FRAME CONNECTED TO HANDLE,A net for fishing or other purposes. The net includes a hoop frame connected to a pole by a yoke. The yoke defines sockets in which respective arms of the hoop frame and a distal end of the pole are received. Plugs in the arms of the hoop frame desirably prevent water from passing the plugs into the hoop frame. A plug in the distal end of the pole desirably prevents water from passing the plug into the pole. The yoke and plugs provide a robust connection of the hoop frame to the pole and help retain air in the hoop frame and pole for buoyancy of the net.,AOB PRODUCTS COMPANY,VESICH ANTHONY;;CAULEY JR DENNIS W;;KINNEY TIMOTHY S;;COTTRELL MICHAEL;;TAYON JAMES;;DALTON MARK;;BURKE JUSTIN;;STEERE BRIAN;;KINAMORE MATTHEW;;SMITH CURTIS,AOB PRODUCTS COMPANY (2019-02-01),https://lens.org/102-840-063-862-434,Patent Application,yes,20,0,4,4,0,A01K77/00;;A01K75/00;;A01K77/00,A01K77/00,,0,0,,,,ACTIVE
440,US,A,US 5845431 A,098-197-606-948-611,1998-12-08,1998,US 82136097 A,1997-03-20,US 82136097 A,1997-03-20,Aquarium fish catcher,An aquarium fish trap (18) has a container (20) made from molded transparent PETE plastic material. The container is elongated in shape and has a standing closed end (34) and an open end (24). The open end is surrounded by flexible plastic fingers (26) that are normally in an open position but upon actuation of a actuating string (22) can flex to a closed position to trap a fish inside the container (20).,WAITE; ROSEMARY,WAITE ROSEMARY,,https://lens.org/098-197-606-948-611,Granted Patent,yes,2,14,1,1,0,A01K63/006;;A01K77/00;;A01K63/006;;A01K77/00,A01K63/00;;A01K77/00,43/54.1;;43/55;;43/100;;43/105;;119/201,0,0,,,,EXPIRED
441,CA,C,CA 2713596 C,096-323-790-364-043,2013-07-30,2013,CA 2713596 A,2010-08-26,NZ 58434310 A,2010-05-22,LANDING NET HOLSTER,"The present invention provides a stabilized belt mounted fish landing net holster. The holster includes a belt-mounted base to which a cylindrical sleeve, which holds the handle of a landing net, is mounted in a vertical plane when the holster is mounted on the belt of an angler in the area of their back. The holster keeps the landing net secure, out of the way while fishing or walking and is easily withdrawn for use.",SMITH WAYNE T,SMITH WAYNE T,,https://lens.org/096-323-790-364-043,Granted Patent,no,0,0,6,6,0,A01K77/00;;A01K97/00;;A01K77/00;;A01K97/00;;A45F5/02,A01K97/00;;A01K77/00;;A45F5/00,,0,0,,,,ACTIVE
442,US,A,US 4103792 A,102-629-308-364-051,1978-08-01,1978,US 76285477 A,1977-01-27,US 76285477 A,1977-01-27,Fish unloading system,A fish unloading system for removing fish from the main fish hold of a fishing boat. The lower portion of the main fish hold is filled with water and sufficient salt added to cause the fish to float near the surface of the water. A power-operated self-feeding fish-impelling device having an enclosure arranged in a loop with a discharge aperture formed in its upper portion is lowered into the hold. A plurality of blades or baskets are power driven about the interior of the enclosure. A pump is arranged with its suction in communication with the fish-impelling device to continuously draw water and fish towards the blades or baskets of the impeller so as to continuously propel fish upwardly from the hold. The system is utilized to unload a plurality of auxiliary fish holds connected to the main fish hold by access hatches. Fish in the auxiliary holds are floated through the access hatches by a recirculating flow of water from the main fish hold through the auxiliary holds and back into the main hold.,PURETIC MARIO J,PURETIC MARIO J,,https://lens.org/102-629-308-364-051,Granted Patent,yes,6,3,1,2,0,A01K77/00;;A01K77/00,A01K77/00,214/152,0,0,,,,EXPIRED
443,KR,Y1,KR 920004621 Y1,092-515-897-456-58X,1992-07-10,1992,KR 900006130 U,1990-05-10,JP 13905989 U,1989-11-29,APPARATUS ARRANGEMENT OF NET IN THE FISHING BOAT,,NIHON KOSAKUSYO K K,HIRONAKA FUJIO,,https://lens.org/092-515-897-456-58X,Unknown,no,0,0,3,3,0,A01K73/06;;A01K77/00,A01K75/00;;A01K63/00,,0,0,,,,EXPIRED
444,FR,A3,FR 2831391 A3,106-689-291-652-523,2003-05-02,2003,FR 0114006 A,2001-10-30,FR 0114006 A;;CA 2358188 A;;DE 20116250 U;;GB 0123316 A;;US 96340001 A,2001-09-27,"Landing net, comprising frame and handle with soft coating resembling structure of bark or wood","The ring shaped main body (10) and the handle (24) of the landing net (14) are made of layers of laminated fiber reinforced plastic mats (22) and are either solid or hollow. Both (10, 24) can also be provided with a foam core. A row of holes (23) for joining the net (12) is positioned around the main body (10). All parts are enveloped by a layer of a soft material (28) with a specific structure which gives the impression of wood to the touch as well as in its appearance. A second transparent protection layer (29) can be added.",YU KUO PIN,YU KUO PIN,,https://lens.org/106-689-291-652-523,Patent Application,no,0,0,9,9,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
445,KR,U,KR 19990042207 U,106-315-346-528-145,1999-12-27,1999,KR 19990019180 U,1999-09-09,KR 19970045717 U,1997-12-31,An elastic plate for salvage roller of a fishline,"본 고안은 한줄의 긴 낚시줄에 수십개의 낚시바늘을 일정간격으로 매달아 물고기를 낚는 주낙용 낚시줄 인양기의 인양로울러에 권착시킨 탄성판의 개량 구조에 관한 것이다. 종래의 탄성판은 외면이 매끈하게 형성되어 있으므로 낚시줄의 인양시 낚시줄의 미끄러짐을 완벽하게 방지할 수는 없었고 특히, 고기가 많이 물려 큰 인장력이 필요할 때에는 미끄러지는 경우가 많이 발생하는 단점이 있었다. 본 고안은 탄성판의 외면에 호형상의 요철부를 연설하므로서 낚시줄의 인양효과를 높인 구조이다.",김상철,김상철,,https://lens.org/106-315-346-528-145,Patent Application,no,0,0,3,3,0,A01K91/18;;A01K77/00;;B66D1/02,A01K91/18,,0,0,,,,EXPIRED
446,KR,A,KR 20050099115 A,106-748-907-176-922,2005-10-13,2005,KR 20040024280 A,2004-04-09,KR 20040024280 A,2004-04-09,METHOD OF LBS USING A VOICE RECOGNITION,,LEE TAE HEON,LEE TAE HEON,,https://lens.org/106-748-907-176-922,Patent Application,no,0,0,1,1,0,A01K73/06;;A01K77/00;;A01K80/00;;B65H75/30,H04W8/18;;G10L15/22;;H04W8/24;;H04W88/18,,0,0,,,,DISCONTINUED
447,US,A,US 1580543 A,111-883-955-604-672,1926-04-13,1926,US 7804025 A,1925-12-28,US 7804025 A,1925-12-28,Fish-landing net,,SMITH ROY J,SMITH ROY J,,https://lens.org/111-883-955-604-672,Granted Patent,no,0,2,1,1,0,A01K77/00;;A01K77/00,A01K77/00,,0,0,,,,EXPIRED
448,US,B2,US 6796075 B2,102-947-585-592-910,2004-09-28,2004,US 86790801 A,2001-05-30,US 86790801 A,2001-05-30,Retractable fishing net,"
    A retractable fishing net includes a handle, a retraction mechanism, a net support band and a netting. The handle has a grip end and a net end. The retraction mechanism is slidably mounted on the handle, the retraction mechanism being movable between the grip end and the net end. The net support band has a first band end and a second band end, the first band end and the second band end each being mounted to the retraction mechanism, the net support band thereby having a hoop shape. The net support band is mounted relative to the handle and the retraction mechanism in a manner so as to provide the net support band with a spring quality, the spring quality of the net support band acting to bias the retraction mechanism toward the net end of the handle. The netting is mounted on the net support band. 
",MAGUIRE MARK R.;;MAGUIRE CYNTHIA A;;MORKEN DANIEL E.;;MORKEN REBECCA L.,MAGUIRE MARK R;;MAGUIRE CYNTHIA A;;MORKEN DANIEL E;;MORKEN REBECCA L,MORKEN DANIEL E (2004-11-19),https://lens.org/102-947-585-592-910,Granted Patent,yes,16,5,2,2,0,A01K77/00;;A01K77/00,A01K77/00,43/12;;43/7,0,0,,,,EXPIRED
449,US,A,US 3512291 A,105-138-987-241-848,1970-05-19,1970,US 3512291D A,1968-12-26,US 78702668 A,1968-12-26,COLLAPSIBLE LANDING NET,,EUGENE J PROULX;;FREDERICK J MOORE SR;;GEORGE T BRENT,PROULX EUGENE J;;MOORE FREDERICK J SR;;BRENT GEORGE T,,https://lens.org/105-138-987-241-848,Granted Patent,no,4,6,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/12,0,0,,,,EXPIRED
450,KR,A,KR 20140009627 A,130-777-314-799-502,2014-01-23,2014,KR 20120075852 A,2012-07-12,KR 20120075852 A,2012-07-12,LIGHT LINE HAULER FOR LINES FISHERY,"The present invention relates to a light robot arm hauler for jigging which is interlocked with a robot arm and, more specifically, to a light hauler for jigging which easily automates the movement of a fishing rod by installing an interlocking device such as a robot arm on the hauler for hauling thrown fishing gut and which is interlocked with a robot arm having a rotating device and a fixing device in order to easily rotate the hauler according to a fishing direction.",YANG JUNG BO,YANG JUNG BO,,https://lens.org/130-777-314-799-502,Patent Application,no,0,0,2,2,0,A01K77/00;;A01K91/18,A01K77/00,,0,0,,,,ACTIVE
